ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
605,"Brockerhoff, A., & Jones, M. K. (1995). Ultrastructure of the scolex and tentacles of the metacestode of Polypocephalus species (Cestoda: Lecanicephalidae) from the blueswimmer crab Portunus pelagicus. International journal for parasitology, 25(9), 1077-1088.",,,,
606,"Shields, J. D. (1992). Parasites and symbionts of the crab Portunus pelagicus from Moreton Bay, Eastern Australia. Journal of Crustacean Biology, 12(1), 94-100.",,,,
607,"Yuan, T. P., Yang, C. P., Li, H. X., Li, L., Wang, H., Xu, J., & Yan, Y. (2016). Infestation by Octolasmis bullata (Aurivillius, 1894)(Cirripedia, Thoracica) of Portunus sanguinolentus (Herbst, 1783)(Brachyura, Portunidae), and possible interactions with Diplothylacus sinensis (Keppen, 1877)(Cirripedia, Rhizocephala). Crustaceana, 89(8), 851-861.",,,,
608,"Waikhom, G., John, K. R., George, M. R., & Jeyaseelan, M. P. (2006). Differential host passaging alters pathogenicity and induces genomic variation in white spot syndrome virus. Aquaculture, 261(1), 54-63.",,,,
609,"Wang, Y., Li, X. C., Fu, G., Zhao, S., Chen, Y., Wang, H., ... & Fang, W. (2017). Morphology and phylogeny of Ameson portunus n. sp.(Microsporidia) infecting the swimming crab Portunus trituberculatus from China. European journal of protistology, 61, 122-136.",,,,
610,"Ren, X., Lv, J., Gao, B., Li, J., & Liu, P. (2017). Immune response and antioxidant status of Portunus trituberculatus inoculated with pathogens. Fish & shellfish immunology, 63, 322-333.",,,,
611,"Global Invasive Species Database, 2018. Crustaceans. Available from: http://issg.org/database/species/search.asp?sts=sss&st=sss&fr=1&x=26&y=13&sn=&rn=&hci=-1&ei=156&lang=EN",,,,
612,"Bi, K., Zhang, X., Yan, B., Gao, H., Gao, X., & Sun, J. (2016). Isolation and Molecular Identification of Vibrio natriegens from Diseased Portunus trituberculatus in China. Journal of the World Aquaculture Society, 47(6), 854-861.",,,,
613,"Zhang, L., Li, D., Liu, L., & Zhang, G. (2015). Rapid immunochromatographic test strip to detect swimming crab Portunus trituberculatus reovirus. Diseases of aquatic organisms, 117(1), 21-29.",,,,
614,"Zhang, X. J., Bai, X. S., Yan, B. L., Bi, K. R., & Qin, L. (2014). Vibrio harveyi as a causative agent of mass mortalities of megalopa in the seed production of swimming crab Portunus trituberculatus. Aquaculture international, 22(2), 661-672.",,,,
615,"Wan, X., Shen, H., Wang, L., & Cheng, Y. (2011). Isolation and characterization of Vibrio metschnikovii causing infection in farmed Portunus trituberculatus in China. Aquaculture international, 19(2), 351-359.",,,,
616,"Wang, L., Yue, L., Chi, Z., & Wang, X. (2008). Marine killer yeasts active against a yeast strain pathogenic to crab Portunus trituberculatus. Diseases of aquatic organisms, 80(3), 211-218.",,,,
617,,,,,
618,"Chen, B. K., Dong, Z., Liu, D. P., Yan, Y. B., Pang, N. Y., Nian, Y. Y., & Yan, D. C. (2017). Iinfectious hypodermal and haematopoietic necrosis virus (IHHNV) infection in freshwater crayfish Procambarus clarkii. Aquaculture, 477, 76-79.",,,,
619,"Dong, X., Li, Z., Wang, X., Zhou, M., Lin, L., Zhou, Y., & Li, J. (2016). Characteristics of Vibrio parahaemolyticus isolates obtained from crayfish (Procambarus clarkii) in freshwater. International journal of food microbiology, 238, 132-138.",,,,
620,"Xu, L., Wang, T., Li, F., & Yang, F. (2016). Isolation and preliminary characterization of a new pathogenic iridovirus from redclaw crayfish Cherax quadricarinatus. Diseases of aquatic organisms, 120(1), 17-26.",,,,
621,"Ding, Z. F., Xia, S. Y., Xue, H., Tang, J. Q., Ren, Q., Gu, W., ... & Wang, W. (2015). Direct visualization of the novel pathogen, Spiroplasma eriocheiris, in the freshwater crayfish Procambarus clarkii (Girard) using fluorescence in situ hybridization. Journal of fish diseases, 38(9), 787-794.",,,,
622,"Brannelly, L. A., McMahon, T. A., Hinton, M., Lenger, D., & Richards-Zawacki, C. L. (2015). Batrachochytrium dendrobatidis in natural and farmed Louisiana crayfish populations: prevalence and implications. Diseases of aquatic organisms, 112(3), 229-235.",,,,
623,"Turner, H. M. (2006). Distribution and prevalence of Allocorrigia filiformis (Trematoda: Dicrocoeliidae), a parasite of the crayfish Procambarus clarkii, within the state of Louisiana and the Lower Mississippi River Valley, USA. Comparative parasitology, 73(2), 274-278.",,,,
624,"Waiho, K., Fazhan, H., Glenner, H., & Ikhwanuddin, M. (2017). Infestation of parasitic rhizocephalan barnacles Sacculina beauforti (Cirripedia, Rhizocephala) in edible mud crab, Scylla olivacea. PeerJ, 5, e3419.",,,,
625,"Sarjito, Haditomo, A. H. C., Desrina, Ferinandika, F. B., Setyaningsih, L., & Prayitno, S. B. (2016). Ectoparasites And Vibrios Associated With Fattening Cultured Mud Crabs [Scylla Serrata (Forsskal, 1775)] From Pemalang Coast, Indonesia. JURNAL TEKNOLOGI, 78(4-2), 207-214.",,,,
626,"Yuan, T. P., Yang, C. P., Li, H. X., Li, L., Wang, H., Xu, J., & Yan, Y. (2016). Infestation by Octolasmis bullata (Aurivillius, 1894)(Cirripedia, Thoracica) of Portunus sanguinolentus (Herbst, 1783)(Brachyura, Portunidae), and possible interactions with Diplothylacus sinensis (Keppen, 1877)(Cirripedia, Rhizocephala). Crustaceana, 89(8), 851-861.",,,,
627,"Guo, Z. X., He, J. G., Xu, H. D., & Weng, S. P. (2013). Pathogenicity and complete genome sequence analysis of the mud crab dicistrovirus-1. Virus research, 171(1), 8-14.",,,,
628,"Chen, J., Xiong, J., Cui, B., Yang, J., Li, W., & Mao, Z. (2012). Molecular characterization of eight segments of Scylla serrata reovirus (SsRV) provides the complete genome sequence. Archives of virology, 157(8), 1551-1557.",,,,
629,"Owens, L., Liessmann, L., La Fauce, K., Nyguyen, T., & Zeng, C. (2010). Intranuclear bacilliform virus and hepatopancreatic parvovirus (PmergDNV) in the mud crab Scylla serrata (Forskal) of Australia. Aquaculture, 310(1-2), 47-51.",,,,
630,"Leaño, E. M. (2002). Haliphthoros spp. from spawned eggs of captive mud crab, Scylla serrata, broodstocks. Fungal Diversity, 9, 93-103.",,,,
631,"Knuckey, I. A., Davie, P. J. F., & Cannon, L. R. G. (1995). Loxothylacus ihlei Boschma,(Rhizocephala) and its effects on the mud crab, Scylla serrata (Forskål), in northern Australia. Journal of Fish Diseases, 18(5), 389-395.",,,,
632,"Hudson, D. A., & Lester, R. J. (1994). Parasites and symbionts of wild mud crabs Scylla serrata (Forskal) of potential significance in aquaculture. Aquaculture, 120(3-4), 183-199.",,,,
633,"Wunderlich, A.C., C.A. Carmona-Suarez, and M.A.A. Pinherio. 2017. NEW RECORDS OF THE ISOPOD Leidya distorta INFESTING THE MANGROVE CRAB Ucides cordatus FROM SOUTH AMERICA. B. Inst. Pesca 43(2): 283-290.",,,,
634,"Vicente, V. A., Orélis-Ribeiro, R., Najafzadeh, M. J., Sun, J., Guerra, R. S., Miesch, S., ... & Boeger, W. A. (2012). Black yeast-like fungi associated with Lethargic Crab Disease (LCD) in the mangrove-land crab, Ucides cordatus (Ocypodidae). Veterinary microbiology, 158(1-2), 109-122.",,,,
635,"Dairain, A., Gonzalez, P., Legeay, A., Maire, O., Daffe, G., Pascal, L., & de Montaudouin, X. (2017). Parasite interactions in the bioturbator Upogebia pusilla (Decapoda: Gebiidae): a case of amensalism?. Marine Biology, 164(10), 203.",,,,
636,"Xiao, Y., & Greenwood, J. G. (1993). The biology of Acetes (Crustacea; Sergestidae). Oceanography and Marine Biology: An Annual Review, 31, 259-444.",,,,
637,"Lima, P. A., Andrade, L. S., Alencar, C. E. R. D., Pereira, R. T., Teixeira, G. M., & Fransozo, A. (2014). Two species of swimming crabs of the genus Achelous (Crustacea, Brachyura): environmental requirements determining the niche. Hydrobiologia, 727(1), 197-207.",,,,
638,"da Silva, A. R., Barioto, J. G., Grabowski, R. C., & Castilho, A. L. (2017). Temporal and bathymetric distribution of juveniles and adults of the speckled swimming crab Arenaeus cribrarius from coastal waters of southern Brazil. Biologia, 72(3), 325-332.",,,,
639,"Bitetto, I., FacchInI, M., SpedIcato, M., & LeMBo, G. (2012). SPATIAL LOCATION OF GIANT RED SHRIMP (ARISTAEOMORPHA FOLIACEA, RISSO, 1827) IN THE CENTRAL-SOUTHERN TYRRHENIAN SEA/LOCALIZZAZIONE SPAZIALE DEL GAMBERO ROSSO (ARISTAEOMORPHA FOLIACEA, RISSO, 1827) NEL TIRRENO CENTRO-MERIDIONALE. Biologia Marina Mediterranea, 19(1), 92.",,,,
640,"Carbonell, A., Abelló, P., Torres, P., & Gil-de-Sola-Simarro, L. (2000). Distribution and abundance of Aristeus antennatus (Decapoda: Dendrobranchiata) along the Mediterranean Spanish coast.",,,,
641,"Da Costa, R. C., Branco, J. O., Machado, I. F., Campos, B. R., & Avila, M. G. (2010). Population biology of shrimp Artemesia longinaris (Crustacea: Decapoda: Penaeidae) from the southern coast of Brazil. Journal of the Marine Biological Association of the United Kingdom, 90(4), 663-669.",,,,
642,"Costa, R. C., Fransozo, A., Castilho, A. L., & Freire, F. A. (2005). Annual, seasonal and spatial variation of abundance of the shrimp Artemesia longinaris (Decapoda: Penaeoidea) in south-eastern Brazil. Journal of the Marine Biological Association of the United Kingdom, 85(1), 107-112.",,,,
643,"PATOKA, J., PETRT_L, M., & KALOUS, L. (2013). Growth of juvenile red swamp crayfish (Procambarus clarkii)(Decapoda: Cambaridae) reared in groups consisting of either sibling and non sibling individuals. Acta Soc. Zool. Bohem, 77, 67-71.",,,,
644,"Dingle H (1983) Strategies of agonistic behavior in Crustacea. In: Rebach S, Dunham DW (eds) Studies in adaptation: the behavior of higher Crustacea. Wiley, New York, pp 85–111",,,,
645,"Behringer, D. C., Butler, M. J., & Shields, J. D. (2006). Ecology: avoidance of disease by social lobsters. Nature, 441(7092), 421.",,,,
646,"Cobb, J. S. (1981). Behaviour of the Western Australian spiny lobster, Panulirus cygnus George, in the field and laboratory. Marine and Freshwater Research, 32(3), 399-409.",,,,
647,"Zimmer-Faust, R. K., & Spanier, E. (1987). Gregariousness and sociality in spiny lobsters: implications for den habitation. Journal of Experimental Marine Biology and Ecology, 105(1), 57-71.",,,,
648,"Pillay, D., Williams, C., & Whitfield, A. K. (2012). Indirect effects of bioturbation by the burrowing sandprawn Callichirus kraussi on a benthic foraging fish, Liza richardsonii. Marine Ecology Progress Series, 453, 151-158.",,,,
649,"Dumbauld, B. R., Armstrong, D. A., & Feldman, K. L. (1996). Life-history characteristics of two sympatric thalassinidean shrimps, Neotrypaea californiensis and Upogebia pugettensis, with implications for oyster culture. Journal of Crustacean Biology, 16(4), 689-708.",,,,
650,"Mantelatto, F. L. M., Fransozo, A., & Negreiros-Fransozo, M. L. (1995). Population structure of Hepatus pudibundus (Decapoda: Calappidae) in Fortaleza Bay, Brazil. Revista de Biologia Tropical, 43(1-3), 265-270.",,,,
651,"Sprague, V. (1949). Species of Nematopsis in Ostrea virginica. Journal of Parasitology 35(6), 243-256",,,,
652,"Miazaki, L. F., Simões, S. M., Castilho, A. L., & Costa, R. C. Population dynamics of the crab Hepatus pudibundus (Herbst, 1785)(Decapoda, Aethridae) on the southern coast of São Paulo state, Brazil. Journal of the Marine Biological Association of the United Kingdom, 1-12.",,,,
653,"O’Clair, C. E., Shirley, T. C., & Taggart, S. J. (1996). Dispersion of adult Cancer magister at Glacier Bay, Alaska: Variation with spatial scale, sex, and reproductive status. High latitude crabs: Biology, management, and economics. University of Alaska Sea Grant, AK-SG-96-02, Fairbanks, 209-227.",,,,
654,"Howard, A. E. (1982). The distribution and behaviour of ovigerous edible crabs (Cancer pagurus), and consequent sampling bias. ICES Journal of Marine Science, 40(3), 259-261.",,,,
655,"Karnofsky, E. B., Atema, J., & Elgin, R. H. (1989). Field observations of social behavior, shelter use, and foraging in the lobster, Homarus americanus. The Biological Bulletin, 176(3), 239-246.",,,,
656,"Lavalli, K. L., & Spanier, E. (2001). Does gregariousness function as an antipredator mechanism in the Mediterranean slipper lobster, Scyllarides latus?. Marine and freshwater research, 52(8), 1133-1143.",,,,
657,"Barshaw, D., & Spanier, E. (1994). The undiscovered lobster: a first look at the social behaviour of the Mediterranean slipper lobster, Scyllarides latus (Decapoda, Scyllaridae). Crustaceana, 67(2), 187-197.",,,,
658,"Wahyudin, R. A., Hakim, A. A., Qonita, Y., Boer, M., Farajallah, A., Mashar, A., & Wardiatno, Y. (2017). Lobster diversity of Palabuhanratu Bay, South Java, Indonesia with new distribution record of Panulirus ornatus, P. polyphagus and Parribacus antarcticus. Aquaculture, Aquarium, Conservation & Legislation-International Journal of the Bioflux Society (AACL Bioflux), 10(2).",,,,
659,"Jones, C. M. (1993). Population structure of Thenus orientalis and T. indicus (Decapoda: Scyllaridae) in northeastern Australia. Marine ecology progress series. Oldendorf, 97(2), 143-155.",,,,
660,,,,,
661,"Hobbs, N. V. S., Cobb, J. S., & Thornber, C. S. (2016). COMPARATIVE CONSPECIFIC AGONISTIC BEHAVIOR OF SIX BRACHYURAN SPECIES IN COASTAL SOUTHERN NEW ENGLAND. Agonistic Behavior and Costs of Aggression in Decapod Crustaceans, 1.",,,,
662,"Huntingford, F. A., Taylor, A. C., Smith, I. P., & Thorpe, K. E. (1995). Behavioural and physiological studies of aggression in swimming crabs. Journal of Experimental Marine Biology and Ecology, 193(1-2), 21-39.",,,,
663,"Schiller, C, Fielder, D.R., Brown, I.W. and Obed, A. (1991). Reproduction, early lifehistory and recruitment. In: The Coconut Crab: Aspects of the Biology and Ecology of Birgus latro in the Republic of Vanuatu, (l.W. Brown and D.R. Fielder, eds.) pp. 13- 34. ACIAR Monograph S. Australian Centre for International Agriculture Research, Canberra, Australia.",,,,
664,"Marin, J. Unkown. Shrimps and Krill. In: Fisheries and Aquaculture Volume II.",,,,
665,"Beukema, J. J. (1992). Dynamics of juvenile shrimp Crangon crangon in a tidal-flat nursery of the Wadden Sea after mild and cold winters. Marine ecology progress series. Oldendorf, 83(2), 157-165.",,,,
666,"Gutt, J., Gorny, M., & Arntz, W. (1991). Spatial distribution of Antarctic shrimps (Crustacea: Decapoda) by underwater photography. Antarctic Science, 3(4), 363-369.",,,,
667,"Wolff, M. A. T. T. H. I. A. S., & Aroca, T. (1997). Population dynamics and fishery of the chilean squat lobster Cervimunida johni Porter,(Decapoda, Galatheidae) off the coast of Coquimbo, Northern Chile. Oceanographic Literature Review, 44(4), 387-387.",,,,
668,"Zeldis, J. R., & Jillett, J. B. (1982). Aggregation of pelagic Munida gregaria (Fabricius)(Decapoda, Anomura) by coastal fronts and internal waves. Journal of plankton research, 4(4), 839-857.",,,,
669,"Yannicelli, B., Castro, L., Parada, C., Schneider, W., Colas, F., & Donoso, D. (2012). Distribution of Pleuroncodes monodon larvae over the continental shelf of south-central Chile: Field and modeling evidence for partial local retention and transport. Progress in Oceanography, 92, 206-227.",,,,
670,"Abellán, L. L., Balguerıas, E., & Fernández-Vergaz, V. (2002). Life history characteristics of the deep-sea crab Chaceon affinis population off Tenerife (Canary Islands). Fisheries Research, 58(2), 231-239.",,,,
671,"He, J., Wu, X., & Cheng, Y. (2016). Effects of limb autotomy on growth, feeding and regeneration in the juvenile Eriocheir sinensis. Aquaculture, 457, 79-84.",,,,
672,,,,,
673,"Cannicci, S., Paula, J., & Vannini, M. (1999). Activity pattern and spatial strategy in Pachygrapsus marmoratus (Decapoda: Grapsidae) from Mediterranean and Atlantic shores. Marine Biology, 133(3), 429-435.",,,,
674,"Cárdenas, C. A., Cañete, J. I., Oyarzún, S., & Mansilla, A. (2007). Podding of juvenile king crabs Lithodes santolla (Molina, 1782)(Crustacea) in association with holdfasts of Macrocystis pyrifera (Linnaeus) C. Agardh, 1980. Investigaciones Marinas, 35(1), 105-110.",,,,
675,"Stone, R. P., O'Clair, C. E., & Shirley, T. C. (1993). Aggregating behavior of ovigerous female red king crab, Paralithodes camtschaticus, in Auke Bay, Alaska. Canadian Journal of Fisheries and Aquatic Sciences, 50(4), 750-758.",,,,
676,"Lysenko, V. N., Selin, N. I., & Fedotov, P. A. (2000). Autotomy and regeneration of limbs in the male blue king crabParalithodes platypus from the Bering Sea and the Sea of Okhotsk. Russian Journal of Marine Biology, 26(5), 364-366.",,,,
677,"Stevens, B. G., Haaga, J. A., & Donaldson, W. E. (1994). Aggregative mating of Tanner crabs, Chionoecetes bairdi. Canadian Journal of Fisheries and Aquatic Sciences, 51(6), 1273-1280.",,,,
678,"Ernst, B., Orensanz, J. M., & Armstrong, D. A. (2005). Spatial dynamics of female snow crab (Chionoecetes opilio) in the eastern Bering Sea. Canadian Journal of Fisheries and Aquatic Sciences, 62(2), 250-268.",,,,
679,"Sampedro, M. P., & González-Gurriarán, E. (2004). Aggregating behaviour of the spider crab Maja squinado in shallow waters. Journal of Crustacean Biology, 24(1), 168-177.",,,,
680,"Paramo, J., & Saint-Paul, U. (2012). Spatial structure of the Caribbean lobster (Metanephrops binghami) in the Colombian Caribbean Sea. Helgoland Marine Research, 66(1), 25.",,,,
681,"Zimmer-Faust, R. K., Tyre, J. E., & Case, J. F. (1985). Chemical attraction causing aggregation in the spiny lobster, Panulirus interruptus (Randall), and its probable ecological significance. The Biological Bulletin, 169(1), 106-118.",,,,
682,"Tuck, I. D., Atkinson, R. J. A., & Chapman, C. J. (1994). The structure and seasonal variability in the spatial distribution of Nephrops norvegicus burrows. Ophelia, 40(1), 13-25.",,,,
683,"Nordhaus, I., Diele, K., & Wolff, M. (2009). Activity patterns, feeding and burrowing behaviour of the crab Ucides cordatus (Ucididae) in a high intertidal mangrove forest in North Brazil. Journal of Experimental Marine Biology and Ecology, 374(2), 104-112.",,,,
684,"Wright, H. O. (1968). Visual displays in brachyuran crabs: field and laboratory studies. American Zoologist, 8(3), 655-665.",,,,
685,"Hartnoll, R. G., Bryant, A. D., & Gould, P. (1993). Size distribution in spider crab populations–spatial and temporal variation. Journal of Crustacean Biology, 13(4), 647-655.",,,,
686,"Emmett, R. L., Hinton, S. A., Logan, D. J., & McCabe, G. T. (2002). Introduction of a Siberian freshwater shrimp to western North America. Biological Invasions, 4(4), 447-450.",,,,
687,"Bentes, B. S., Martinelli, J. M., Souza, L. S., Cavalcante, D. V., Almeida, M. C., & Isaac, V. J. (2011). Spatial distribution of the Amazon River prawn Macrobrachium amazonicum (Heller, 1862)(Decapoda, Caridea, Palaemonidae) in two perennial creeks of an estuary on the northern coast of Brazil (Guajará Bay, Belém, Pará). Brazilian Journal of Biology, 71(4), 925-935.",,,,
688,"Enin, U. I. (1995). First estimates of growth, mortality and recruitment parameters of Macrobrachium macrobrachion Herklots, 1851 in the Cross River estuary, Nigeria. Dana, 11(1), 29-38.",,,,
689,"De Grave, S., & Ghane, A. (2006). The establishment of the oriental river prawn, Macrobrachium nipponense (de Haan, 1849) in Anzali Lagoon, Iran. Aquatic Invasions, 1(4), 204-208.",,,,
690,"Nwosu, F. M., & Wolfi, M. (2006). Population dynamics of the giant African river prawn Macrobrachium vollenhovenii Herklots 1857 (Crustacea, Palaemonidae) in the cross River estuary, Nigeria. West African Journal of Applied Ecology, 9(1).",,,,
691,"Kim, S. (2005). Population structure, growth, mortality, and size at sexual maturity of Palaemon gravieri (Decapoda: Caridea: Palaemonidae). Journal of Crustacean Biology, 25(2), 226-232.",,,,
692,"Pérez, E., Eduardo, P., & Defeo, O. (2003). Time-space variation in the catchability coefficient as a function of catch per unit of effort in Heterocarpus reedi (Decapoda, Pandalidae) in north-central Chile. Interciencia, 28(3), 178-182.",,,,
693,"Wolotira Jr, R. J., Allen, M. J., Sample, T. M., & Henry, R. L. (1989). Life History and Harvest Summaries for Selected Invertebrate Species Occurring off the West Coast· of North America.",,,,
694,"Simard, Y., Legendre, P., Lavoie, G., & Marcotte, D. (1992). Mapping, estimating biomass, and optimizing sampling programs for spatially autocorrelated data: case study of the northern shrimp (Pandalus borealis). Canadian Journal of Fisheries and Aquatic Sciences, 49(1), 32-45.",,,,
695,"Possenti, E., Sartor, P., & De Ranieri, S. (2007). Reproductive biology of females of Plesionika edwardsii (Brandt, 1851)(Crustacea, Decapoda, Pandalidae) in the northern Tyrrhenian Sea (western Mediterranean). Atti. Soc. tosc. Sci. nat., Mem., Serie B, 114, 91-98.",,,,
696,"VACCHI, M., BOYER, M., BUSSOTTI, S., GUIDETTI, P., & LA MESA, G. (1999). Some interesting species in the coastal fish fauna of Ustica Island (Mediterranean Sea). Cybium, 23(4), 323-331.",,,,
697,"Esterhuizen, J. A. (2004). Towards the development of a protocol for rearing juvenile rock lobster, Jasus lalandii(Doctoral dissertation, Rhodes University).",,,,
698,"Goñi, R., Quetglas, A., & Reñones, O. (2003). Differential catchability of male and female European spiny lobster Palinurus elephas (Fabricius, 1787) in traps and trammelnets. Fisheries Research, 65(1-3), 295-307.",,,,
699,"Hearn, A., & Murillo, J. C. (2008). Life history of the red spiny lobster, Panulirus penicillatus (Decapoda: Palinuridae), in the Galápagos Marine Reserve, Ecuador. Pacific Science, 62(2), 191-204.",,,,
700,"Radhakrishnan, E. V., & Devarajan, K. (1986). Growth of the spiny lobster Panulirus polyphagus (Herbst) reared in the laboratory. Proceedings of the Symposium on Coastal Aquaculture, 4: 1164-1170.",,,,
701,"Battaglene, S. C., Simon, C. J., Fitzgibbon, Q. P., Smith, G. G., & Carter, C. G. (2013). Could the packhorse lobster, Sagmariasus verreauxi, be the best spiny lobster for aquaculture?. In 6th Fish and Shellfish Larviculture Symposium 2013.",,,,
702,"Jones, C. M., & Ruscoe, I. M. (1996). Production technology for redclaw crayfish (Cherax quadricarinatus) (No. 595.3841/J76). Freshwater Fisheries and Aquaculture Centre, Department of Primary Industries.",,,,
703,"Hazlett, B. A., Lawler, S., & Edney, G. (2007). Agonistic behavior of the crayfish Euastacus armatus and Cherax destructor. Marine and Freshwater Behaviour and Physiology, 40(4), 257-266.",,,,
704,"Oh, C. W., Kim, J. Y., Jeong, I. J., Suh, H. L., & Cho, Y. K. (2006). Reproduction and population dynamics of Leptochela gracilis (Decapoda: Pasiphaeidae) on the western coast of Korea, Yellow Sea. Journal of the Marine Biological Association of the United Kingdom, 86(1), 113-120.",,,,
705,"Chace Jr, F. A. (1976). Shrimps of the pasiphaeid genus Leptochela with descriptions of three new species (Crustacea: Decapoda: Caridea).",,,,
706,"Chen, H. S., Chen, C. Y., & Chen, M. H. (2014). Life history tactics of southern velvet shrimp Metapenaeopsis palmensis (Crustacea, Decapoda) in the waters off southwestern Taiwan. Hydrobiologia, 741(1), 177-191.",,,,
707,"Salman, S. D., Ali, M. H., & Al-Adhub, A. H. (1990). Abundance and seasonal migrations of the penaeid shrimp Metapenaeus affinis (H. Milne-Edwards) within Iraqi waters. Hydrobiologia, 196(1), 79-90.",,,,
708,"Achuthankutty, C. T., & Parulekar, A. H. (1986). Distribution of penaeid prawn larvae in the coastal waters of Goa.",,,,
709,"Fortibuoni, T., Bahri, T., Camilleri, M., Garofalo, G., Gristina, M., & Fiorentino, F. (2010). Nursery and spawning areas of deep-water rose shrimp, Parapenaeus longirostris (Decapoda: Penaeidae), in the Strait of Sicily (Central Mediterranean Sea). Journal of Crustacean Biology, 30(2), 167-174.",,,,
710,"Allsopp, H. (1980). Fish by-catch from shrimp trawling: the main protein resource for Caribbean Atlantic Countries; reality and potential.",,,,
711,"Rao, G. S. (2000). The Indian tiger prawn Penaeus monodon Fabricius.",,,,
712,"Gopakumar, G., & Kuttyamma, V. J. (1997). Effect of hydrogen sulphide on the substratum selectivity of shrimp Penaeus indicus (Crustacea/Decapoda).",,,,
713,"Tulian, E. A. (1920). Louisiana–Greatest in the Production of Shrimp–Penaeus Setiferus. Transactions of the American Fisheries Society, 49(3), 115-124.",,,,
714,"Juarez, L. M., Luxem, A. H., & Rouse, D. B. (1996). Sampling shrimp populations in hatcheries. Journal of the World Aquaculture Society, 27(2), 218-222.",,,,
715,"Nanjo, N. (2016). Occurrence of the pelagic shrimp Pasiphaea japonica (Decapoda: Pasiphaeidae) in gut contents of demersal predators in a submarine canyon (Toyama Bay, Japan). Crustacean Research, 45, 69-77.",,,,
716,"Schöne, H. (1968). Agonistic and Sexual Display in Aquatic and Semi-Terrestrial Brachyuran Grabs. American Zoologist, 8(3), 641-654.",,,,
717,"Sant'Anna, B. S., Watanabe, T. T., Turra, A., & Zara, F. J. (2012). Relative abundance and population biology of the non-indigenous crab Charybdis hellerii (Crustacea: Brachyura: Portunidae) in a southwestern Atlantic estuary-bay complex. Aquatic Invasions, 7(3), 347-356.",,,,
718,"Dinakaran, G. K., & Soundarapandian, P. (2009). Mating behaviour and broodstock development of commercially important blue swimming crab, Portunus sanguinolentus (Herbst). Indian Journal of Science and Technology, 2(4), 71-75.",,,,
719,"Waiho, K., Mustaqim, M., Fazhan, H., Norfaizza, W. I. W., Megat, F. H., & Ikhwanuddin, M. H. D. (2015). Mating behaviour of the orange mud crab, Scylla olivacea: The effect of sex ratio and stocking density on mating success. Aquaculture Reports, 2, 50-57.",,,,
720,"Kobayashi, S., & Vazquez-Archdale, M. (2018). Growth and reproductive ecology of the portunid crab Charybdis japonica in an open seacoast and an inland bay in Fukuoka, Japan. Journal of Sea Research, 142, 52-65.",,,,
721,"Vazquez-Archdale, M., Hattori, I., Takashima, D., 2010a. Live crab decoys as luring method for the pot fishery of invasive crab Charybdis japonica. J. Fish. Aquat. Sci. 5, 377–385.",,,,
722,"Marshall, S., Warburton, K., Paterson, B., & Mann, D. (2005). Cannibalism in juvenile blue-swimmer crabs Portunus pelagicus (Linnaeus, 1766): effects of body size, moult stage and refuge availability. Applied Animal Behaviour Science, 90(1), 65-82.",,,,
723,"He, J., Gao, Y., Wang, W., Xie, J., Shi, H., Wang, G., & Xu, W. (2016). Limb autotomy patterns in the juvenile swimming crab (Portunus trituberculatus) in earth ponds. Aquaculture, 463, 189-192.",,,,
724,"Baelde, P. (1992). Reproductive biology of commercially exploited deep-water royal red prawns (Haliporoides sibogae, Solenoceridae) in south-east Australia. Marine Biology, 113(3), 447-456.",,,,
725,"Glembocki, N. G., Williams, G. N., Góngora, M. E., Gagliardini, D. A., & Orensanz, J. M. L. (2015). Synoptic oceanography of San Jorge Gulf (Argentina): A template for Patagonian red shrimp (Pleoticus muelleri) spatial dynamics. Journal of Sea Research, 95, 22-35.",,,,
726,"Dineshbabu, A. P., & Manissery, J. K. (2008). Reproductive biology of ridgeback shrimp Solenocera choprai (Decapoda, Penaeoidea, Solenoceridae) off Mangalore coast, south India. Fisheries science, 74(4), 796-803.",,,,
727,"XUE, L. J., & SONG, H. T. (2004). Study on the Biomass Distribution &Biological Characteristics of Solenocera melantho in the East China Sea [J]. Journal of Zhejiang Ocean University, 3, 002.",,,,
728,"Dworschak, P. C. (1983). The biology of Upogebia pusilla (Petagna)(Decapoda, Thalassinidea) I. The burrows. Marine Ecology, 4(1), 19-43.",,,,
729,"Spivak, E. D., Arévalo, E., Cuesta, J. A., & González-Gordillo, J. I. (2010). Population structure and reproductive biology of the stone crab Xantho poressa (Crustacea: Decapoda: Xanthidae) in the ‘Corrales de Rota’(south-western Spain), a human-modified intertidal fishing area. Journal of the Marine Biological Association of the United Kingdom, 90(2), 323-334.",,,,
730,"Pezzuto, P. R., Perez, J. A. A., & Wahrlich, R. (2006). Deep-sea shrimps (Decapoda: Aristeidae): new targets of the deep-water trawling fishery in Brazil. Brazilian journal of oceanography, 54(2-3), 123-134.",,,,
731,"Reynolds, J., Souty-Grosset, C., & Richardson, A. (2013). Ecological roles of crayfish in freshwater and terrestrial habitats. Freshwater Crayfish, 19(2), 197-218.",,,,
732,"Brewis, J. M., & Bowler, K. (1985). A study of reproductive females of the freshwater crayfish Austropotamobius pallipes. Hydrobiologia, 121(2), 145-149.",,,,
